Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
43FAB4       3    No     00006330-00006337        8
444CB2      5D    No     00006338-00006399       62
444D1C      58    No     0000639A-000063F6       5D
444D8C      BD    No     000063F7-000064B8       C2
444E59      CA    No     000064B9-00006587       CF
444F39      4D    No     00006588-000065D9       52
444F95      49    No     000065DA-00006627       4E
444FEE      60    No     00006628-0000668C       65
448760      54    No     0000668D-000066E5       59
4487C0      66    No     000066E6-00006750       6B
448954      3E    No     00006751-00006793       43
44E874       B    No     00006794-000067A3       10
44E890       1    No     000067A4-000067A9        6
44E898      10    No     000067AA-000067BE       15
44E8B2       1    No     000067BF-000067C4        6
44E8BC      10    No     000067C5-000067D9       15
44E8D8       D    No     000067DA-000067EB       12
44E8EC       3    No     000067EC-000067F3        8
44E8FA       3    No     000067F4-000067FB        8
44E904      10    No     000067FC-00006810       15
44E91E      1A    No     00006811-0000682F       1F
44E942      19    No     00006830-0000684D       1E
44E966       3    No     0000684E-00006855        8
44E970      10    No     00006856-0000686A       15
44E98A       3    No     0000686B-00006872        8
44E994      10    No     00006873-00006887       15
44E9B0       5    No     00006888-00006891        A
44FC90      13    No     00006892-000068A9       18
44FCAA      1A    No     000068AA-000068C8       1F
44FCCE       F    No     000068C9-000068DC       14
44FCE4       4    No     000068DD-000068E5        9
44FCF2       7    No     000068E6-000068F1        C
459B83       F    No     000068F2-00006905       14
459C9E       E    No     00006906-00006918       13
460F74      34    No     00006919-00006951       39
460FB4     53A    No     00006952-00006E90      53F
4614F6      F7    No     00006E91-00006F8C       FC
462443     311    No     00006F8D-000072A2      316
46275E     11E    No     000072A3-000073C5      123
462884      53    No     000073C6-0000741D       58
71A23C     BF2    No     0000741E-00008014      BF7
514E24    FFFF    SE!    xxxxxxxx-xxxxxxxx    xxxxx
524E23    FFFF    SE!    xxxxxxxx-xxxxxxxx    xxxxx
534E22    FFFF    SE!    xxxxxxxx-xxxxxxxx    xxxxx
544E21    FFFF    SE!    xxxxxxxx-xxxxxxxx    xxxxx
554E20    FFFF    SE!    xxxxxxxx-xxxxxxxx    xxxxx
